field,input,output
고용복지,실업급여 신청방법,"고용보험법 제40조에 따른 요건을 충족하여 실업급여를 신청하고자 할 경우, 퇴사 후 지체없이 거주지 관할 고용센터에 방문하여 실업을 신고하고 실업급여 수급자격 인정을 신청하면 되며, 퇴직 당시 연령과 고용보험 가입기간에 따라 120일~270일의 범위 내에서 퇴직 전 평균임금의 60%가 지급됩니다.
※ 실업급여는 이직일의 다음날부터 12개월을 초과하면 소정급여일수가 남아있더라도 지급을 받을 수 없음

[실업급여 신청방법]
① 전산망(www.work24.go.kr)을 통하여 구직신청을 하고,
② 거주지 관할 고용센터를 방문(신분증 지참)하여 고용센터에서 실시하는 실업급여 신청자 취업지원 설명회 참석
※ www.work24.go.kr에서 실업급여 수급 설명회 온라인 교육 수강 가능
③ 고용센터에서 실시하는 취업지원 설명회에 따라 수급자격인정신청서 및 재취업활동계획서 작성·제출
※ 워크넷으로 구직등록 후 방문시 워크넷 활용교육 및 구직표 작성시간을 면제받을 수 있음
④ 취업지원 설명회 종료 후, 개별상담을 거쳐 추후 일정에 대하여 안내받은 후 귀가
⑤ 관할 고용센터는 원칙적으로 접수 후 14일 이내에 수급자격 인정여부를 결정, 통지"
고용복지,실업급여 지급기간과 지급금액,실업급여는 실직자가 고용보험에 가입한 기간(피보험기간) 및 이직 당시의 연령에 따라 120일~270일간 지급됩니다. 이직 전 직장에서 지급받던 평균임금의  60%를 지급받게 됩니다.
고용복지,실업급여는 신청 기간,"퇴직 후 되도록 빨리 거주지 관할 고용센터에 출석하여 구직신청(인터넷 신청 가능) 및 수급자격 인정신청을 하시면 됩니다. 언제까지 실업급여 지급을 신청해야 하는지에 대한 제한은 없으나, 실업급여는 이직일의 다음날로부터 12개월을 초과하면 지급받을 소정급여일수라 남아있는 경우라도 지급을 받을 수 없으므로 이직 후 이에 유의하여 가능한 빨리 신청하셔야 합니다."
고용복지,출산전후휴가급여 받는 방법,"출산전후 휴가급여는 근로기준법 제74조에 따른 출산전후휴가를 사용한 근로자 중 출산전후휴가 종료일 이전에 피보험단위기간이 통산하여 180일 이상이 되어야 합니다.
- 이 조건에 해당되면 출산전후휴가 개시일 이후 1개월부터 종료일 이후 12개월 이내에 거주지 또는 사업장 관할 고용센터에 출산전휴가급여를 신청하실 수 있습니다.
- 출산전후 휴가급여액은 근로기준법상 통상임금액에 상당하는 금액(상한액 200만원)을 지급하게 되며, 이때 산정된 통상임금이 200만원을 초과하는 경우에는 200만원을 지급하게 됩니다.
"
고용복지,육아휴직급여 받는 방법,"육아휴직급여는 육아휴직을 30일이상 사용한 근로자중 육아휴직개시일 이전에 피보험단위기간이 통산하여 180일이상이 되어야 하고, 같은 자녀에 대하여 피보험자인 배우자가 30일 이상의 육아휴직을 부여받지 아니하거나 육아기 근로시간 단축을 30일 이상 실시하지 아니하고 있을 것을 요건으로 합니다.

- 이 조건이 해당되면 육아휴직개시일 이후 1월부터 종료일 이후 12월 이내에 사업주로부터 육아휴직확인서를 발급 받아 거주지 또는 사업장 관할 고용센터에 육아휴직급여를 신청할 수 있습니다.

- 육아휴직급여액 첫 3개월은 육아휴직 개시일 기준 월 통상임금의 80%(상한액 월 150만원, 하한액 월 70만원)를 지원, 나머지 기간은 육아휴직 개시일 기준 월 통상임금의 50%(상한액 120만원, 하한액 70만원)를 지원하게 됩니다.

- 단, 산정된 급여액 중 25%는 육아휴직 종료 후 해당 사업장에 복직하여 6개월 이상 계속 근무한 경우에 합산하여 일시불로 지급(25%를 빼고 남은 금액이 70만원 미만일 경우, 70만원을 지급)하게 됩니다."
고용복지,구인구직 신청절차,"구인·구직 신청을 하고자 하는 경우에는 고용노동부 취업포털사이트인 워크넷 (www.work.go.kr)에 접속하여 구인·구직신청서를 작성·제출하시거나 가까운 고용센터를 방문하여 구인· 구직신청서를 작성하여 제출하시면 됩니다.

구인·구직등록과 관련하여 궁금한 사항이 있으면 가까운 고용센터 또는 고객상담센터(국번없이 1350)으로 문의하여 주시기 바랍니다."
고용복지,실업급여 해당요건,실업급여 수급 요건을 충족하기 위해서는 근로자는 이직일 이전 18개월 동안 사업주로부터 보수를 지급받은 일수(피보험단위기간)가 180일 이상이어야 합니다.
고용복지,인터넷으로 구인신청 하는 방법,"인터넷상으로 구인신청을 하고자 하는 경우에는 고용24(www.work24.go.kr)에 접속하여 기업회원으로 가입한 후 마이페이지 좌측 메뉴의 [구인신청 등록]을 클릭하시어 구인신청서를 작성, 등록(사업자등록증은 관할센터에 팩스 또는 온라인첨부)하면 관할 고용센터 업무담당자가 급여 및 직종, 관련법규 위반여부 등 구인조건 확인 후 인증절차(1-2일의 기간소요)를 거쳐 구인신청 완료 시 워크넷에 구인신청내용이 공개됩니다.

참고로, 인터넷으로 구인신청이 어려운 경우에는 사업자등록증을 지참하여 사업장 소재지 관할 고용센터나 새일센터, 일자리센터 등을 방문하시면 직접 구인신청이 가능합니다."
고용복지,해외취업 지원 사업,"해외 진출을 희망하는 청년을 연수, 알선 취업 및 정착지원, 정보제공 등을 통하여 해외취업으로 연계하는 것이며, 주요 내용으로는 K-Move스쿨, 민간해외취업알선 및 해외취업정착지원금 등이 있습니다.

또한 청년들이 쉽게 해외취업 정보를 찾을 수 있도록 월드잡플러스(www.worldjob.or.kr)에서 관련 서비스를
통합 제공하고 있습니다.

더 자세한 사항은 월드잡플러스(www.worldjob.or.kr) 접속 또는 한국산업인력공단(1644-8000) 상담을 통해
확인하실 수 있습니다."
고용복지,거짓 구인광고에 대한 신고방법,"거짓구인광고로 피해를 입은 경우에는 워크넷 홈페이지 (www.work.go.kr-하단 거짓구인광고신고) 또는 고용24 홈페이지(www.work24.go.kr-우측 퀵메뉴-고객센터-거짓구인광고신고)를 이용하여 신고하실 수 있습니다.

※ 참고로, 직업안정법 시행령 34조에서 규정하는 거짓 구인광고의 범위는 아래와 같습니다.
1. 구인을 가장하여 물품판매, 수강생모집, 직업소개, 부업알선, 자금모금등을 행하는 광고
2. 거짓 구인을 목적으로 구인자의 신원(업체명 또는 성명)을 표시하지 아니하는 광고
3. 구인자가 제시한 직종, 고용형태, 근로조건등이 응모할 때의 그것과 현저히 다른광고
4. 기타 광고의 중요내용이 사실과 다른 광고"
고용복지,구직 등록필증 발급방법,"워크넷(www.work.go.kr)에 접속하여 개인회원으로 가입 로그인 후, ""개인회원서비스""에서 ""이력서관리(구직신청)"" 클릭 후 개인이력서 등록 후 구직신청 인증대기 → 발급이 가능합니다."
고용복지,육아휴직자의 연차휴가 신청방법,"2018.5.29. 이후 육아휴직을 개시한 경우에는 출근율 계산시 육아휴직기간을 출근한 것으로 봅니다.

-2018.5.29. 이전 육아휴직이 종료되었거나, '18.5.29. 이전부터 육아휴직을 사용하고 있는 경우에는 육아휴직기간을 제외한 나머지 소정근로일수에 대한 출근율에 따라 판단하되 당해 사업장의 당해년도 총 소정근로일수에 대한 육아휴직한 근로자의 출근일수비율을 곱하여 휴가일수를 산정하여 지급함."
고용복지,외국인 근로자 고용절차,"일반외국인근로자를 고용하실 경우
① 내국인 구인노력: 내국인 구인노력이 필요
*신문, 방송 등을 통해 구인노력을 한 경우는 단축
② 외국인고용허가서 신청 및 발급
*알선(고용노동부 알선) → 채용 → 고용허가서 발급(추가)
③ 근로계약체결
*사증발급인정서 신청 및 발급(출입국관리사무소)(변경)
④ 외국인근로자 입국 및 취업교육
*사업주 부담으로 입국 즉시 2박 3일간 16시간 이상의 취업교육을 받아야 함
⑤ 사업장 배치

특례외국인근로자(외국국적동포)를 고용하실 경우
① 내국인 구인노력: 7일간의 내국인 구인노력이 필요
*신문, 방송 등을 통해 구인노력을 한 경우는 3일로 단축"
고용복지,고용노동부에서 실시하는 심리검사,"고용노동부에서 제공하는 심리검사는 청소년들을 위한 검사와 성인들을 위한 검사로 나뉘어져 있는데, 청소년용으로는 직업흥미검사, 일반직업적성검사, 직업가치관검사, 진로발달검사, 직업인성검사가 있고 성인용으로는 직업선호도 검사와 성인용 직업적성검사, 구직욕구진단검사, 직업가치관검사가 있습니다.

또한, 구직자와 재취업 자를 위한 구직준비도검사와 직업전환검사, 창업을 희망하는 분들에게는 창업진단검사도 준비되어 있습니다.흥미와 선호도를 측정하므로 써 직업의 선호 유형을 찾아보실 수 있습니다.

관할 고용센터에 직접 방문하여 지필검사를 받거나 워크넷을 통한 온라인 검사가 가능합니다.
www.work.go.kr, www.worknet.go.kr 접속 후 로그인 → 직업·진로 선택 → 직업심리검사 메뉴에서 실시"
고용복지,육아휴직자의 퇴직금 산정방식,"육아휴직기간은 남녀고용평등과 일, 가정 양립 지원에 관한 법률 제19조제4항의 규
정에 따라 퇴직금산정의 기초가 되는 근속기간에는 포함됩니다.
그러나 근로기준법 시행령 제2조에 규정에 의하여 육아휴직기간과 그 기간중에 지불
된 임금은 평균임금 산정기준이 되는 기간과 임금총액에서는 제외됩니다."
고용복지,"퇴직금 산정 시 산전,후 휴가기간이 포함되는가","근로기준법 제60조 제6항의 규정에 의하여 출산전후휴가기간은 출근한 것으로 간주하
도록 규정되어 있으므로 퇴직금산정시 출산전후휴가기간은 근속기간에 포함하여야 합니
다.
그러나 근로기준법 시행령 제2조의 규정에 의하여 출산전후휴가기간과 그 기간중에 지
불된 임금은 평균임금 산정기준이 되는 기간과 임금의 총액에서는 제외됩니다."
고용복지,출산휴가 부여 및 급여보전 방법,"근로기준법 제74조의 규정에 의하여 사업주는 임신중의 여성근로자에 대하여 출산전
후를 통하여 90일의 보호휴가를 주어야 하고, 이 경우 반드시 산후에 45일 이상이 확
보되도록 하여야 합니다.

출산전후휴가기간동안의 임금은 최초 60일분은 사용자가 지급하여야 하고, 60일을 초
과하는 30일분에 대하여는 고용보험에서 지급하고 있음. (출산전후 휴가기간 중 최초 60일분에 대하여는 사업주가 지급하고, 60일을 초과하는 30일분에 대하여는 고용보험에서 지급함. (단, 우선지원대상기업의 경우 출산전후휴가기간 90일분을 고용보험에서 지급. 다만, 이 경우에도 최초 60일의 통상임금과 고용보험 급여와의 차액분은 사업주가 지급해야 함 )"
고용복지,육아휴직 신청자격,"남녀고용평등과 일·가정양립 지원에 관한 법률 제19조에의해 임신 중인 여성근로자나, 8세 이하 또는 초등학교 2학년 이하(입양한 자녀 포함)의 자녀가 있는 근로자(남,녀 불문)가 그 영유아의 양육을 위하여 휴직을 신청하는 경우 1년 이내로 육아휴직 사용이 가능합니다. ○ 단, 같은 법 시행령 제10조에서 육아휴직을 시작하려는 날의 전날까지 당해 사업장에서의 계속 근로한 기간이 6개월 미만인 경우에는 사업주가 육아휴직을 허용하지 않을 수도 있습니다."
