소관부처,분야,법령종류,한글법령명,영문법령명
소방청,민방위ㆍ소방,법률,119구조·구급에 관한 법률,ACT ON 119  RESCUE AND EMERGENCY MEDICAL SERVICES
소방청,민방위ㆍ소방,대통령령,119구조·구급에 관한 법률 시행령,ENFORCEMENT DECREE OF THE ACT ON 119  RESCUE AND EMERGENCY MEDICAL SERVICES
중소벤처기업부,상업ㆍ무역ㆍ공업,법률,1인 창조기업 육성에 관한 법률,ACT ON THE FOSTERING OF  SELF-EMPLOYED CREATIVE ENTERPRISES
중소벤처기업부,상업ㆍ무역ㆍ공업,대통령령,1인 창조기업 육성에 관한 법률 시행령,ENFORCEMENT DECREE OF THE ACT ON THE FOSTERING OF  SELF-EMPLOYED CREATIVE ENTERPRISES
문화체육관광부,교육ㆍ학술,법률,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법,SPECIAL ACT ON SUPPORT FOR THE 2018 PYEONGCHANG OLYMPIC AND PARALYMPIC WINTER GAMES
문화체육관광부,교육ㆍ학술,대통령령,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 시행령,ENFORCEMENT DECREE OF THE SPECIAL ACT ON SUPPORT FOR THE 2018 PYEONGCHANG OLYMPIC AND PARALYMPIC WINTER GAMES
여성가족부,사회복지,법률,2023 새만금 세계스카우트잼버리 지원 특별법,SPECIAL ACT ON SUPPORT FOR THE 2023 SAEMANGEUM WORLD SCOUT JAMBOREE
여성가족부,사회복지,대통령령,2023 새만금 세계스카우트잼버리 지원 특별법 시행령,ENFORCEMENT DECREE OF THE SPECIAL ACT ON SUPPORT FOR THE 2023 SAEMANGEUM WORLD SCOUT JAMBOREE
해양수산부,해운,법률,4·16세월호참사 진상규명 및 안전사회 건설 등을 위한 특별법,SPECIAL ACT ON INVESTIGATING THE TRUTH OF THE APRIL 16 SEWOL FERRY DISASTER AND BUILDING A SAFE SOCIETY
해양수산부,해운,법률,4·16세월호참사 피해구제 및 지원 등을 위한 특별법,SPECIAL ACT ON REMEDY FOR DAMAGE CAUSED BY THE APRIL 16 SEWOL FERRY DISASTER AND ASSISTANCE THEREFOR
해양수산부,해운,대통령령,4·16세월호참사 피해구제 및 지원 등을 위한 특별법 시행령,ENFORCEMENT DECREE OF THE SPECIAL ACT ON REMEDY FOR DAMAGE CAUSED BY THE APRIL 16 SEWOL FERRY DISASTER AND ASSISTANCE THEREFOR
국방부,형사법,법률,5·18민주화운동 등에 관한 특별법,SPECIAL ACT ON THE MAY 18 DEMOCRATIZATION MOVEMENT
국방부,민사법,법률,5·18민주화운동 진상규명을 위한 특별법,SPECIAL ACT ON INVESTIGATING THE TRUTH OF THE MAY 18 DEMOCRATIZATION MOVEMENT
국가보훈처,국가보훈,법률,5ㆍ18민주유공자예우 및 단체설립에 관한 법률,ACT ON THE HONORABLE TREATMENT OF PERSONS OF DISTINGUISHED SERVICE TO THE MAY 18 DEMOCRATIZATION MOVEMENT AND ESTABLISHMENT OF RELATED ORGANIZATION
국방부,군사,법률,6·25 전사자유해의 발굴 등에 관한 법률,ACT ON THE EXCAVATION OF THE REMAINS OF SOLDIERS KILLED IN THE KOREAN WAR
통일부,민사법,법률,6·25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률,ACT ON FINDING THE TRUTH OF THE DAMAGE FROM NORTH KOREA’S ABDUCTION DURING THE KOREAN WAR AND RESTORING HONOR OF THE VICTIMS
통일부,민사법,대통령령,6·25전쟁 납북피해 진상규명 및 납북피해자 명예회복에 관한 법률 시행령,ENFORCEMENT DECREE OF THE ACT ON FINDING THE TRUTH OF THE DAMAGE FROM NORTH KOREA’S ABDUCTION DURING THE KOREAN WAR AND RESTORING HONOR OF THE VICTIMS
국방부,국가보훈,법률,6·25전쟁 무공훈장 수여 등에 관한 법률,ACT ON THE CONFERMENT OF ORDERS OF MILITARY MERIT FOR DISTINGUISHED SERVICES RENDERED DURING THE KOREAN WAR
국방부,군사,법률,6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률,ACT ON COMPENSATION TO PERSONS OF DISTINGUISHED SERVICE WHO CONDUCTED OPERATION AS IRREGULAR FORCES IN ENEMY TERRITORIES BEFORE AND DURING THE KOREAN WAR
국방부,군사,대통령령,6ㆍ25전쟁 전후 적 지역에서 활동한 비정규군 공로자 보상에 관한 법률 시행령,ENFORCEMENT DECREE OF THE ACT ON COMPENSATION TO PERSONS OF DISTINGUISHED SERVICE WHO CONDUCTED OPERATION AS IRREGULAR FORCES IN ENEMY TERRITORIES BEFORE AND DURING THE KOREAN WAR
법무부,민사법,법률,가등기담보 등에 관한 법률,PROVISIONAL REGISTRATION SECURITY ACT
산업통상자원부,상업ㆍ무역ㆍ공업,법률,가맹사업 진흥에 관한 법률,FRANCHISE BUSINESS PROMOTION ACT
산업통상자원부,상업ㆍ무역ㆍ공업,대통령령,가맹사업 진흥에 관한 법률 시행령,ENFORCEMENT DECREE OF THE FRANCHISE BUSINESS PROMOTION ACT
공정거래위원회,재정ㆍ경제일반,법률,가맹사업거래의 공정화에 관한 법률,FAIR TRANSACTIONS IN FRANCHISE BUSINESS ACT
공정거래위원회,재정ㆍ경제일반,대통령령,가맹사업거래의 공정화에 관한 법률 시행령,ENFORCEMENT DECREE OF THE FAIR TRANSACTIONS IN FRANCHISE BUSINESS ACT
고용노동부,노동,법률,가사근로자의 고용개선 등에 관한 법률,ACT ON THE EMPLOYMENT IMPROVEMENT OF DOMESTIC WORKERS
법무부,민사법,법률,가사소송법,FAMILY LITIGATION ACT
금융위원회,통화ㆍ국채ㆍ금융,법률,가상자산 이용자 보호 등에 관한 법률,ACT ON THE PROTECTION OF VIRTUAL ASSET USERS
법무부,형사법,대통령령,가석방자관리규정,REGULATIONS ON THE SUPERVISION OF PAROLEES
환경부,환경,법률,가습기살균제 피해구제를 위한 특별법,SPECIAL ACT ON REMEDY FOR DAMAGE CAUSED BY HUMIDIFIER DISINFECTANTS
환경부,환경,대통령령,가습기살균제 피해구제를 위한 특별법 시행령,ENFORCEMENT DECREE OF THE SPECIAL ACT ON REMEDY FOR DAMAGE CAUSED BY HUMIDIFIER DISINFECTANTS
여성가족부,사회복지,법률,가정폭력방지 및 피해자보호 등에 관한 법률,ACT ON THE PREVENTION OF DOMESTIC VIOLENCE AND PROTECTION OF VICTIMS
