input,output
직장생활의 3원칙을 알려줘.,"직장생활 3원칙을 알려드리겠습니다.
1. 상대방의 입장을 존중한다.
2. 약속은 반드시 지킨다.
3. 항상 능률을 생각한다."
직장인으로서의 마음가짐을 알려줘.,"직장인으로서의 마음가짐을 알려드리겠습니다.

1. 좋은 서비스 : 직장인으로서 책임 의식을 가지고 고객에게 좋은 서비스와 편의를 제공하도록 합시다.

2. 투철한 사명감 : 맡은 바 임무에 최선을 다하고 업무 수행을 위해 폭 넓은 지식을 습득하도록 합시다.

3. 직장인의 대표자 : 자신이 회사를 대표한다는 자부심과 긍지를 가지고, 공과 사를 구분하여 업무 처리를 합시다.

4. 친절의 생활화 : 밝은 표정과 명랑한 음성으로 상대방에게 호감을 주도록 하며, 바른 마음에서 바른 행동이 나온다는 것을 명심합시다.

5. 산뜻하고 맵시있게 : 세련된 용모, 복장, 매너로 고객을 편하게 대합시다."
유능한 직장인이 되기 위해서 어떻게 해야해?,"유능한 직장인이 되기 위해서 어떻게 해야 하는지 알려드리겠습니다.

1. 유능한 직장인이 되기 위해서는 첫 인상이 중요합니다. 회사 식구들에게 좋은 첫 인상을 남길 수 있도록 노력합시다.

2. 용모를 단정히 합시다. 바른 마음가짐에서 바른 행동이 나옵니다.

3. 적당히 시간을 때우려는 생각은 버립시다.

4. 지시 사항을 정확히 파악하여 일을 처리합시다. 의문이 생긴다면 그 자리에서 제 때 질문하는 것이 중요합니다.

5. 결과 보고는 정확하게 합시다."
직장인이 지켜야 할 기본 매너들에 대해서 알려줘.,"직장인이 가져야 할 기본 매너는 아래와 같습니다.
인사예절, 근무예절, 근무자세, 보행자세, 의자에 앉는 자세, 옷차림과 몸가짐, 소개매너, 접대매너, 악수매너, 명함매너, 승강기 탑승 매너, 호칭, 전화매너 등이 있습니다."
직장인의 인사예절에 대해서 알려줘.,"인사를 할 때는 우선, 상대방 앞에 서서 상대방의 눈을 봅니다.
등을 펴고 허리에서 직선으로 정중하게 머리를 숙입니다.
여자는 손을 오른손의 엄지를 왼손의 엄지와 검지 사이에 끼워 하복부에 가볍게 댑니다.
숙일 때보다 조금 느린 속도로 몸을 일으켜 다시 상대방의 눈을 봅니다.
발은 항상 뒷꿈치끼리 맞대고 앞부분이 30도의 각도를 이루도록 합니다.
인사는 먼저 보는 사람이 먼저 하도록 합니다.

인사의 종류에는 다음과 같은 것들이 있습니다.
1. 정중한 인사 (45도~90도) : 극히 높은 분이나 의식 등에서 하는 인사나, 사과를 할 때 사용됩니다.
2. 보통인사 (30도) : 일상 생활에서 가장 많이 행해지는 인사로, 보통 윗사람이나 고객을 맞이할 때와 보낼 때 사용됩니다.
3. 가벼운 인사 (15도) : 동료 또는 하루에 두 번 이상 만나는 사람, 또는 아랫사람에게 사용됩니다.
4. 목례 (5도) : 자주 대할 때나, 복도 실내 등에서 사용됩니다. 가볍게 머리를 숙이고 눈으로 예를 표하며 부드러운 표정을 짓습니다."
직장인의 근무에절에 대해서 알려줘.,"인사는 직장 생활의 윤활유입니다. 출퇴근 시에나 아침에 항상 먼저 인사를 해봅시다. *부탁합니다*, *수고하셨습니다*, *감사합니다* 등의 인사도 항상 생활화합시다.
피해를 주거나 실수를 하는 일이 있다면 사과인사를 건네도록 합시다.
이외에도 외출 출장, 휴가, 결근 및 지각 등 다양한 상황에서도 항상 인사를 잊지 말도록 합시다.

*주의* 상사에게 *수고하십시오* 라는 말은 적합하지 않습니다. 대신, *먼저 실례하겠습니다*, *먼저 가겠습니다* 와 같은 말로 인사하는 것이 바람직합니다."
직장인의 근무자세에 대해서 알려줘.,"허리와 가슴을 펴고 머리는 곧게, 입가엔 미소를 나타냅니다. 다른 사람과 이야기할 때 손을 몸의 앞으로 모으며 정중한 인상을 줍니다."
직장인의 보행자세에 대해서 알려줘.,등을 곱게 세우고 어깨의 힘은 빼고 무릎을 곧게 펴고 배는 당기고 중심은 허리 높이에 둡니다. 턱은 당기고 눈은 자연스럽게 앞을 봅니다. 걷는 방향이 직선이 되도록 합니다.
의자에 앉는 자세에 대해서 알려줘.,"되도록 의자의 왼쪽부터 앉습니다.
의자 깊숙이 허리와 가슴을 펴고 안정되기 앉습니다.

*책상, 의자에 앉는 자세*
등받이와 등 사이에는 주먹 1개 정도의 간격을 두고 깊이 바로 앉습니다.
책상과 윗모 사이는 적당히 띄우고, 등받이에 주먹 하나의 간격을 두고 앉습니다.
의자에 기댄 채 몸을 흔들거나, 책상이나 서류함에 걸터앉는 행위는 자제해야 합니다."
직장인이 가지면 안되는 근무자세에 대해서 알려줘.,"양손을 주머니에 넣고 걷지 않습니다.
책상 의자에 비스듬히 앉아 일하지 않습니다.
담배를 피우면서 일하지 않습니다.
이쑤시개를 입에 넣은 채 걷지 않습니다.
남이 보는데서 화장을 고치거나, 무릎을 벌리고 앉지 않습니다.
사적인 통화를 자주, 그리고 길게 하지 않습니다.
귀를 후비거나 손톱을 깎지 않습니다."
직장인의 옷차림에 대해서 알려줘.,"직장인의 옷차림에대해서 알려드리겠습니다.

*근무복* : 항상 청결히 하며 단정하게 입습니다.
*소매* : 깨끗하게 유지하도록 합니다. 걷어 붙이는 것을 피합니다.
*명찰* : 정 위치에 부착합니다. 근무복 상단 두번째 단추 좌측 5cm에 위치시킵니다.
*블라우스* : 속이 들여다 보이지 않도록 합니다. 속옷이 밖으로 나오지 않도록 합니다.
*뱃지* : 명찰 위로 1cm 상단 중앙에 위치시킵니다.
*스타킹* : 피부색과 가까운 것으로 합니다. 원색이나 무늬 있는 것, 진한 검정색 등은 피합니다. 올이 빠지거나 늘어나는 것에 주의합니다.
*양말* :착용하지 않는 것이 원칙입니다.
*구두* : 흑색이나 갈색이 좋습니다. 슬리퍼, 운동화, 캐주얼화는 피합니다. 굽이 낮고 활동하기 편한 것으로 합니다."
직장인의 몸가짐에 대해서 알려줘.,"직장인이 갖춰야 할 몸가짐에 대해서 알려드리겠습니다.
*머리* : 앞머리가 눈을 가리지 않도록 합니다. 자주 세발하여 윤기 있는 아름다운 머리를 유지합니다. 리본 등 화려한 머리장식과, 지나친 파마 같은 요란한 머리 모양은 피합니다. 긴 머리는 묶읍시다.
*얼굴* : 얼굴색은 밝고 건강하게 보이도록 합니다. 화장은 청결한 느낌을 주도록 합니다. 눈 화장은 엷게 하고, 아이 쉐도우나 속눈썹은 하지 않습니다.
*손톱* : 항시 짧고 청결하게 유지합니다. 매니큐어는 투명하거나 엷은 것으로 하고, 벗겨지지 않도록 주의합니다."
직장에서 보고할 때의 요령을 알려줘.,"지시를 받은 후 실행했다면 반드시 보고합니다.
지시를 받았을 때 그것을 동료에게 미뤄서도 안되고, 자신이 직접 보고해야합니다.
결론부터 말한 후 과정을 나중에 말합니다.
보고하려고 할 때 지시한 사람이 자리에 없다면, 반드시 메모하여 테이블에 놓고 나옵시다.
다른 사람들이 알아서는 안 될 내용을 보고할 때는 말로 하지 말고 메모로 전하는 것이 윗사람에 대한 에티켓입니다."
