instruction,output
사회초년생은 체크카드랑 신용카드 중에 어떤 걸 사용하는게 좋아?,"사회생활을 막 시작하는 사회초년생은 신용카드 보다는 체크카드를 자신의 주이용 카드로 선택하는 것이 바람직합니다.
체크카드는 신용카드와 달리 대출 기능이 없고, 원칙적으로 자신의 예금 범위 내에서만 결제가 가능하기 때문에 합리적인 소비가 가능합니다.
또한, 체크카드는 사용실적에 따른 소득공제율이 신용카드의 2배이므로 연말정산에도 유리합니다.

* 신용카드는 꼭 필요한 소비 이상으로 충동적인 소비를 하게 될 가능성이 있고, 이용이 편리한 카드론이나 현금서비스는 최고 20%대의 고금리 대출이기 때문에 연체자가 될 위험성도 증가합니다. 연체 시 신용 등급에도 악영향을 줄 수 있습니다."
"신용등급이 뭐고, 왜 중요한거야?","개인 신용등급은 1년에 3회까지 인터넷의 신용평가기관에서 무료로 확인할 수 있습니다.
신용평가기관에는 S&P, 한국신용평가, 무디스, NICE신용평가 등이 있습니다."
신용등급은 어떻게 확인할 수 있어?,개인 신용등급은 1년에 3회까지 인터넷을 통해 신용평가기관에서 무료로 확인할 수 있습니다.
신용등급이 변하는 요인을 알려줘.,"대출금, 카드사용 대금, 통신요금, 공공요금 등을 연체하지 않고 성실하게 상환, 납부하는 등 정상적인 금융거래를 많이 하면 신용등급이 상승합니다.
반면 대출금 연체, 신규대출 및 대출건수 증가 시 신용등급이 하락하게 됩니다.

대출이나 카드사용 등 금융거래 실적이 많지 않은 사회초년생들은 대부분 4~6등급을 받게 되는데, 휴대폰 요금 성실납부 실적 등을 신용조회회사에 꾸준히 제출할 경우 신용가점을 받을 수 있으므로 이를 적극 활용할 것을 추천합니다."
여러 은행을 사용하는 것보다 주거래 은행 위주로 거래하는 것이 더 좋아?,"은행들은 고객의 거래실적에 따라 우수고객으로 선정하고 대출, 예금, 환전, 자금이체 등 금융거래시 금리우대, 수수료감면 등의 혜택을 제공하고 있습니다.
따라서 은행거래를 할 때 여러 은행으로 나누어 하기 보다는 하나의 주거래 은행을 통해 집중적으로 거래하는 것이 유리합니다."
주거래은행을 정하는 팁을 알려줘.,"자신이 앞으로 많이 사용하게 될 금융서비스에 대한 혜택 뿐 아니라, 이용편의성 등을 종합적으로 고려할 필요가 있습니다."
현금서비스에 대해서 알려줘.,"현금서비스는 *단기카드대출*로, 신용카드의 한도 내에서 카드 결제 대신 현금을 빌리는 서비스를 의미합니다. 카드론과는 다른 점이, 빌린 돈을 다음 달 카드 결제일에 일시불로 갚아야 합니다. 이자율은 카드론보다 높습니다."
카드론에 대해서 알려줘.,"카드론은 *장기카드대출*입니다. 현금서비스보다 큰 금액을 장기적으로 갚아나가는 것입니다. 상환 방식에 따라 최대 36개월 내로 지정한 개월수만큼 나눠서 갚는 것입니다. 대출 한도는 카드사, 신용등급에 따라 상이하나 일반적으로 1~3천만원 사이입니다."
현금서비스와 카드론의 위험성에 대해서 알려줘.,"현금서비스는 우선 이자율이 연 17% 안팎으로 굉장히 높은 수준입니다. 대부업법상 법정 최고금리가 연 20% 수준이라는 점을 감안하면 굉장히 높은 수치입니다. 높은 이자율을 감당해야 하는 점이 불합리하기 때문에 사용하지 않는 것이 자산 관리에 도움이 됩니다.

이자율을 제외하고 봐도, 카드론과 현금서비스는 위험성이 큰 대출로 분류되기 때문에 신용점수가 대폭 하락하는 요인으로 작용합니다. 향후 금융 자산을 관리하는 데에 있어 어려움으로 작용하게 되므로 사용하지 않는 것을 추천합니다."
리볼빙에 대해 설명해줘. 사람들이 하지 말라는 이유도 알려줘.,"리볼빙은 *일부결제금액이월약정* 서비스입니다. 이번 달에 결제해야 할 카드값의 일부를 다음달로 이월하여 결제하기로 약정했다는 뜻입니다.
예를 들어 이번 달 카드 대금이 100만원일 때 10%의 리볼빙을 신청한다면 이번 달 결제일에는 10만원만 내도 되는 것입니다.

언뜻 유용해 보이지만 단점이 굉장히 명확합니다.
1. 신용등급 하락 위험 : 리볼빙 서비스를 한 번 이용한 정도로 신용등급이 하락하는 것은 아니지만, 이용기간이 길어지고 이월금액이 누적되면 신용평가에 부정적 지표로 작용하게 됩니다.
2. 높은 수수료 : 일반적으로 15~20%의 수수료를 지불하게 됩니다.
3. 카드대금의 끝없는 이월 : 별도의 상환일이 없기 때문에 매월 약정결제비율에 대응하는 금액을 지불했다면 남은 금액이 끝없이 이월됩니다. 몇 달만 사용하더라도 카드값이 눈덩이처럼 불어나고, 수수료 역시 함께 불어납니다. 미상환 금액만큼 카드사에 빚을 지게 된 것인데도 결제일에는 일부만 지불하기 때문에 여유가 있다고 착각하기 쉽고, 과소비를 하게 됩니다.
4. 카드 한도 제약 : 리볼빙으로 이월된 미상환 금액만큼 카드 한도를 차지하게 됩니다. 카드 한도가 부족해지면 계획적 소비가 어려워지게 됩니다.

위의 4가지 대표적 문제점을 바탕으로 리볼빙을 하지 말라고 조언하는 사람들이 많습니다."
